"runid","iterid","K","M","d","D","e","t","hood_no","score"
2,77,29,0,0,0,2,2,7,32664
2,78,29,0,0,0,2,2,7,32664
2,79,29,0,0,0,2,2,7,32664
2,80,29,0,0,0,2,2,8,32664
2,81,29,0,0,0,2,2,8,32664
2,82,29,0,0,0,2,2,8,32664
2,83,29,0,0,0,2,2,8,32664
2,84,29,0,0,0,2,2,8,32664
2,85,29,0,0,0,2,2,9,32664
2,86,29,0,0,0,2,2,9,32664
2,87,29,0,0,0,2,2,9,32664
2,88,29,0,0,0,2,2,9,32664
2,89,29,0,0,0,2,2,9,32664
2,90,29,0,0,0,2,2,10,32664
2,91,29,0,0,0,2,2,10,32664
2,92,29,0,0,0,2,2,10,32664
2,93,29,0,0,0,2,2,10,32664
2,94,29,0,0,0,2,2,10,32664
2,95,29,0,0,0,2,2,11,32664
2,96,29,0,0,0,2,2,11,32664
2,97,29,0,0,0,2,2,11,32664
2,98,29,0,0,0,2,2,11,32664
2,99,29,1,0,0,2,2,11,33215
2,100,29,1,0,0,2,2,12,33215
2,101,29,2,0,0,2,2,12,34096
2,102,29,2,0,0,2,2,12,34096
2,103,29,2,0,0,2,2,12,34096
2,104,29,2,0,0,2,2,12,34096
2,105,29,2,0,0,2,2,13,34096
2,106,29,2,0,0,2,2,13,34096
2,107,29,2,0,0,2,2,13,34096
2,108,29,2,0,0,2,2,13,34096
2,109,29,2,0,0,2,2,13,34096
2,110,29,2,0,0,2,2,14,34096
2,111,29,3,0,2,2,2,14,34428
3,2,69,2,4,0,12,2,1,1313
3,3,69,2,4,0,12,2,1,1313
3,4,69,2,4,0,12,2,1,1313
3,5,69,2,4,0,12,2,1,1313
3,6,69,2,4,0,12,2,1,1313
3,7,69,2,4,0,12,2,1,1313
3,8,69,2,4,0,12,2,1,1313
3,9,69,2,4,0,12,2,1,1313
3,10,69,2,4,0,12,2,1,1313
3,11,69,2,4,0,12,2,1,1313
3,12,69,2,4,0,12,2,1,1313
3,13,69,2,4,0,12,2,1,1313
3,14,69,2,4,0,12,2,1,1313
3,15,69,2,4,0,12,2,1,1313
3,16,69,2,4,0,12,2,1,1313
3,17,69,2,4,0,12,2,1,1313
3,18,69,2,4,0,12,2,1,1313
3,19,69,2,4,0,12,2,1,1313
3,20,69,2,4,0,12,2,1,1313
3,21,69,2,4,0,12,2,1,1313
3,22,69,2,4,0,12,2,1,1313
3,23,69,2,4,0,12,2,1,1313
3,24,69,2,4,0,12,2,1,1313
3,25,69,2,4,0,12,2,1,1313
3,26,69,2,4,0,12,2,1,1313
3,27,69,2,4,0,12,2,1,1313
3,28,69,2,4,0,12,2,1,1313
3,29,69,2,4,0,12,2,1,1313
3,30,69,2,4,0,12,2,1,1313
3,31,69,2,4,0,12,2,1,1313
3,32,69,2,4,0,12,2,1,1313
3,33,69,2,4,0,12,2,1,1313
3,34,69,2,4,0,12,2,1,1313
3,35,69,2,4,0,12,2,1,1313
3,36,69,2,4,0,12,2,1,1313
3,37,69,2,4,0,12,2,1,1313
3,38,69,2,4,0,12,2,1,1313
3,39,69,2,4,0,12,2,1,1313
3,40,69,2,4,0,12,2,1,1313
3,41,69,2,4,0,12,2,1,1313
3,42,69,2,4,0,12,2,1,1313
3,43,69,2,4,0,12,2,1,1313
3,44,69,2,4,0,12,2,1,1313
3,45,69,2,4,0,12,2,1,1313
3,46,69,2,4,0,12,2,1,1313
3,47,69,2,4,0,12,2,1,1313
3,48,69,2,4,0,12,2,1,1313
3,49,69,2,4,0,12,2,1,1313
3,50,69,2,4,0,12,2,2,1313
3,51,69,2,4,0,12,2,2,1313
3,52,61,2,4,0,7,2,2,4085
3,53,61,3,2,0,7,2,2,5859
3,54,61,3,2,0,7,2,2,5859
3,55,45,3,2,0,12,2,3,12545
3,56,45,3,2,0,12,2,3,12545
3,57,45,3,2,0,12,2,3,12545
3,58,45,3,2,0,12,2,3,12545
3,59,37,2,0,0,2,2,3,29538
3,60,37,2,0,0,2,2,4,29538
3,61,37,2,0,0,2,2,4,29538
3,62,37,2,0,0,2,2,4,29538
3,63,21,2,0,0,2,2,4,31353
3,64,21,2,0,0,2,2,4,31353
3,65,21,2,0,0,2,2,5,31353
3,66,21,2,0,0,2,2,5,31353
3,67,21,2,0,0,2,2,5,31353
3,68,21,2,0,0,2,2,5,31353
3,69,21,2,0,0,2,2,5,31353
3,70,21,2,0,0,2,2,6,31353
3,71,29,2,0,2,2,2,6,34096
3,72,29,2,0,2,2,2,6,34096
3,73,29,2,0,2,2,2,6,34096
3,74,29,2,0,2,2,2,6,34096
3,75,29,2,0,2,2,2,7,34096
3,76,29,2,0,2,2,2,7,34096
3,77,29,2,0,2,2,2,7,34096
3,78,29,2,0,2,2,2,7,34096
3,79,29,3,0,0,2,2,7,34428
4,1,45,2,0,4,12,2,1,11676
4,2,45,1,0,4,7,2,1,16087
4,3,45,1,0,4,7,2,1,16087
4,4,45,1,0,4,7,2,1,16087
4,5,45,1,0,4,7,2,1,16087
4,6,45,1,0,4,7,2,1,16087
4,7,45,1,0,4,7,2,1,16087
4,8,45,1,0,4,7,2,1,16087
4,9,45,1,0,4,7,2,1,16087
4,10,45,1,0,4,7,2,1,16087
4,11,37,1,0,4,7,2,1,18408
4,12,37,1,0,4,7,2,1,18408
4,13,37,1,0,4,7,2,1,18408
4,14,37,1,0,4,7,2,1,18408
4,15,37,1,0,4,7,2,1,18408
4,16,37,2,0,2,7,2,1,18958
4,17,37,2,0,2,7,2,1,18958
4,18,37,2,0,2,7,2,1,18958
4,19,37,2,0,2,7,2,1,18958
4,20,37,2,0,2,7,2,1,18958
4,21,37,2,0,2,7,2,1,18958
4,22,37,2,0,2,7,2,1,18958
4,23,37,2,0,2,7,2,1,18958
4,24,37,2,0,2,7,2,1,18958
4,25,37,2,0,2,7,2,1,18958
4,26,37,2,0,2,7,2,1,18958
4,27,37,2,0,2,7,2,1,18958
4,28,37,2,0,2,7,2,1,18958
4,29,37,2,0,2,7,2,1,18958
4,30,37,2,0,2,7,2,1,18958
4,31,37,2,0,2,7,2,1,18958
4,32,37,2,0,2,7,2,1,18958
4,33,37,2,0,2,7,2,1,18958
4,34,37,2,0,2,7,2,1,18958
4,35,37,2,0,2,7,2,1,18958
4,36,37,2,0,2,7,2,1,18958
4,37,37,2,0,2,7,2,1,18958
4,38,37,2,0,2,7,2,1,18958
4,39,37,2,0,2,7,2,1,18958
4,40,37,2,0,2,7,2,1,18958
