a,b,c,hood_no,score
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,7,32088
40,100,28,7,32088
43,99,28,7,32459
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,7,33914
48,99,28,8,33914
48,99,28,8,33914
48,99,28,8,33914
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
46,100,29,8,33989
48,100,28,8,34408
48,100,28,8,34408
48,100,28,8,34408
52,97,30,8,34474
52,97,30,8,34474
52,97,30,8,34474
52,97,30,8,34474
52,97,30,8,34474
52,97,30,8,34474
52,97,30,8,34474
53,98,29,8,35092
53,98,29,8,35092
53,98,29,8,35092
53,98,29,8,35092
53,98,29,8,35092
53,98,29,8,35092
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
50,100,29,8,35181
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,8,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
53,100,28,9,35923
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
56,99,29,9,36519
55,100,29,9,36716
55,100,29,9,36716
55,100,29,9,36716
55,100,29,9,36716
55,100,29,9,36716
55,100,29,9,36716
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,9,37443
60,99,27,10,37443
60,99,27,10,37443
60,99,27,10,37443
63,98,27,10,37892
64,97,29,10,38039
63,99,29,10,38752
63,99,29,10,38752
63,99,29,10,38752
63,99,29,10,38752
63,99,29,10,38752
63,99,29,10,38752
63,99,29,10,38752
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
63,100,28,10,39103
69,98,27,10,39872
69,98,27,10,39872
69,98,27,10,39872
69,98,27,10,39872
69,98,27,10,39872
69,98,27,10,39872
69,98,27,10,39872
69,98,27,11,39872
69,98,27,11,39872
71,98,27,11,40548
71,98,27,11,40548
71,99,28,11,41251
71,99,28,11,41251
71,99,28,11,41251
71,99,28,11,41251
71,99,28,11,41251
71,99,28,11,41251
71,99,28,11,41251
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
72,100,26,11,41808
75,99,27,11,42468
75,99,27,11,42468
75,99,27,11,42468
75,99,27,11,42468
75,99,27,11,42468
75,99,27,11,42468
75,99,27,11,42468
75,99,27,12,42468
75,99,27,12,42468
75,99,27,12,42468
75,99,27,12,42468
76,100,27,12,43369
76,100,27,12,43369
79,99,27,12,43884
79,99,27,12,43884
79,99,27,12,43884
79,99,27,12,43884
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
77,100,29,12,44064
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,12,44440
79,100,27,13,44440
79,100,27,13,44440
78,100,30,13,44600
81,99,28,13,44771
81,99,28,13,44771
81,99,28,13,44771
81,99,28,13,44771
81,99,28,13,44771
81,99,28,13,44771
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
84,99,28,13,45866
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,13,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,28,14,46063
83,100,29,14,46236
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
87,100,28,14,47551
92,99,28,14,48874
92,99,28,14,48874
92,99,28,14,48874
92,99,28,14,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,28,15,48874
92,99,29,15,49047
92,99,29,15,49047
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
94,99,29,15,49819
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
96,99,28,15,50426
