mopt_iter
507
692
240
378
690
63
2
307
217
550
423
360
283
337
561
342
308
261
509
544
583
419
389
167
275
264
436
447
61
206
470
256
357
378
175
378
434
555
484
325
182
428
481
413
509
209
152
402
74
106
219
425
303
305
527
331
172
404
126
230
659
182
8
210
612
212
543
205
357
271
599
411
423
157
6
450
355
124
114
453
563
56
291
303
228
164
312
266
203
58
220
285
59
268
352
307
164
296
290
461
