assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
4339,1122,191,111,1658,222466,37,2,0,0,200,2,2,29.029378421,73401,1.0,0,1122.0,817,25.584709755,1.0,26000,26000.0,28.107007472,682,667,2138,106.188,140.526,1.0,0.0,1.0,0.343407564,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4340,1122,191,111,1658,222466,37,2,0,0,200,2,7,31.098784696,73401,1.0,0,1122.0,817,4.401252676,1.0,26000,26000.0,24.577382848,681,667,2139,106.939,138.969,1.0,0.0,1.0,0.449599569,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4341,1122,191,111,1658,222466,37,2,0,0,200,2,12,32.054129924,73401,1.0,0,1122.0,817,4.22673764,1.0,26000,26000.0,23.781135969,680,667,2138,106.135,138.677,1.0,0.0,1.0,0.34556167,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4342,176,393,111,1556,49442,37,2,0,0,200,7,2,31.259661165,16440,1.0,0,176.0,103,3.799958418,1.0,26000,26000.0,20.035073247,116,109,437,150.828,193.309,1.0,0.0,1.0,0.189461088,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4343,176,393,111,1556,49442,37,2,0,0,200,7,7,30.910158639,16440,1.0,0,176.0,103,3.331835347,1.0,26000,26000.0,20.269939193,112,109,438,152.344,191.529,1.0,0.0,1.0,0.193393599,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4344,176,393,111,1556,49442,37,2,0,0,200,7,12,30.821327277,16440,1.0,0,176.0,103,3.447077138,1.0,26000,26000.0,20.385185794,113,109,437,154.309,187.602,1.0,0.0,1.0,0.210115226,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4345,103,256,111,1556,26592,37,2,0,0,200,12,2,29.788643732,8977,1.0,0,103.0,46,2.628450086,1.0,26000,26000.0,18.294246391,69,66,279,143.258,175.678,1.0,0.0,1.0,0.179096829,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4346,103,256,111,1556,26592,37,2,0,0,200,12,7,31.573859539,8977,1.0,0,103.0,46,3.082773682,1.0,26000,26000.0,17.887432509,69,66,279,143.258,174.183,1.0,0.0,1.0,0.175504855,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4347,103,256,111,1556,26592,37,2,0,0,200,12,12,30.257737847,8977,1.0,0,103.0,46,2.871117786,1.0,26000,26000.0,18.453286032,69,66,279,143.258,174.925,1.0,0.0,1.0,0.179096489,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4348,1122,191,111,1658,222466,37,2,0,2,200,2,2,31.868305035,73401,1.0,0,1122.0,817,4.450463383,1.0,26000,26000.0,23.871525865,682,667,2139,106.188,140.526,1.0,0.0,1.0,0.351601809,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4349,1122,191,111,1658,222466,37,2,0,2,200,2,7,31.602569144,73401,1.0,0,1122.0,817,4.193381555,1.0,26000,26000.0,24.132426544,680,667,2139,106.135,138.457,1.0,0.0,1.0,0.3482233,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4350,1122,191,111,1658,222466,37,2,0,2,200,2,12,31.68123232,73401,1.0,0,1122.0,817,4.490637506,1.0,26000,26000.0,23.377636001,683,667,2139,107.025,140.88,1.0,0.0,1.0,0.345032267,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4351,176,393,111,1556,49442,37,2,0,2,200,7,2,30.464750663,16440,1.0,0,176.0,103,3.180228726,1.0,26000,26000.0,20.822902905,112,109,437,152.344,192.682,1.0,0.0,1.0,0.220424076,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4352,176,393,111,1556,49442,37,2,0,2,200,7,7,31.076668251,16440,1.0,0,176.0,103,3.347421121,1.0,26000,26000.0,19.909188353,113,109,438,152.021,191.389,1.0,0.0,1.0,0.198559665,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4353,176,393,111,1556,49442,37,2,0,2,200,7,12,29.404056467,16440,1.0,0,176.0,103,3.313424953,1.0,26000,26000.0,20.81128243,112,109,437,151.938,191.809,1.0,0.0,1.0,0.194226285,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4354,103,256,111,1556,26592,37,2,0,2,200,12,2,30.602326816,8977,1.0,0,103.0,46,3.011271501,1.0,26000,26000.0,18.658574889,71,67,279,141.087,170.697,1.0,0.0,1.0,0.211756172,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4355,103,256,111,1556,26592,37,2,0,2,200,12,7,30.483007812,8977,1.0,0,103.0,46,2.536316212,1.0,26000,26000.0,18.995531127,70,66,279,143.016,174.606,1.0,0.0,1.0,0.176344079,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4356,103,256,111,1556,26592,37,2,0,2,200,12,12,31.540768125,8977,1.0,0,103.0,46,2.547763722,1.0,26000,26000.0,18.915493377,69,66,279,143.235,171.006,1.0,0.0,1.0,0.176845663,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4357,1122,191,111,1658,222466,37,2,0,2,200,2,2,31.928659734,73401,1.0,0,1122.0,817,4.193773162,1.0,26000,26000.0,23.281075462,678,667,2139,106.014,138.079,1.0,0.0,1.0,0.347358248,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4358,1122,191,111,1658,222466,37,2,0,2,200,2,7,30.578467271,73401,1.0,0,1122.0,817,4.813157167,1.0,26000,26000.0,23.358104442,682,667,2138,106.175,140.512,1.0,0.0,1.0,0.34471219,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4359,1122,191,111,1658,222466,37,2,0,2,200,2,12,31.465838311,73401,1.0,0,1122.0,817,4.175755757,1.0,26000,26000.0,23.457443711,682,667,2138,106.136,140.476,1.0,0.0,1.0,0.34357902,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4360,176,393,111,1556,49442,37,2,0,2,200,7,2,31.873863824,16440,1.0,0,176.0,103,3.342399723,1.0,26000,26000.0,19.791813919,112,109,437,152.344,191.629,1.0,0.0,1.0,0.196132634,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4361,176,393,111,1556,49442,37,2,0,2,200,7,7,30.66676876,16440,1.0,0,176.0,103,3.448012215,1.0,26000,26000.0,19.941572132,112,109,437,152.344,191.816,1.0,0.0,1.0,0.195890878,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4362,176,393,111,1556,49442,37,2,0,2,200,7,12,29.798819753,16440,1.0,0,176.0,103,3.636192314,1.0,26000,26000.0,19.684150922,113,109,437,155.134,192.804,1.0,0.0,1.0,0.197859734,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4363,103,256,111,1556,26592,37,2,0,2,200,12,2,29.258662857,8977,1.0,0,103.0,46,2.533511997,1.0,26000,26000.0,18.501545459,69,66,279,143.258,175.678,1.0,0.0,1.0,0.182624169,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
