assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
8641,120,260,123,982,33939,61,0,0,0,200,2,2,17.752300507,10995,1.0,0,120.0,14,2.619977911,1.0,26000,26000.0,18.296014061,94,89,358,146.007,186.517,1.0,0.0,1.0,0.187605032,13726,13725,0,13725,0,13725,0,13725,0,0,0,0,0,0
8642,120,260,123,982,33939,61,0,0,0,200,2,7,18.148126976,10995,1.0,0,120.0,14,2.674721888,1.0,26000,26000.0,18.005205637,94,89,358,146.007,186.517,1.0,0.0,1.0,0.182366581,13726,13725,0,13725,0,13725,0,13725,0,0,0,0,0,0
8643,120,260,123,982,33939,61,0,0,0,200,2,12,18.658311917,10995,1.0,0,120.0,14,2.66586694,1.0,26000,26000.0,17.877778744,97,89,358,145.88,184.128,1.0,0.0,1.0,0.183235785,13726,13725,0,13725,0,13725,0,13725,0,0,0,0,0,0
8644,54,292,185,982,16735,61,0,0,0,200,7,2,19.016875773,5555,1.0,0,54.0,4,2.136482539,1.0,26000,26000.0,17.680962635,41,40,213,159.683,191.707,1.0,0.0,1.0,0.167838513,9822,9822,0,9822,0,9822,0,9822,0,0,0,0,0,0
8645,54,292,185,982,16735,61,0,0,0,200,7,7,18.583970456,5555,1.0,0,54.0,4,2.117756418,1.0,26000,26000.0,17.746994114,42,40,214,159.229,189.957,1.0,0.0,1.0,0.174941086,9822,9822,0,9822,0,9822,0,9822,0,0,0,0,0,0
8646,54,292,185,982,16735,61,0,0,0,200,7,12,18.502032179,5555,1.0,0,54.0,4,2.123894227,1.0,26000,26000.0,18.302011006,42,40,214,160.621,191.85,1.0,0.0,1.0,0.172733672,9822,9822,0,9822,0,9822,0,9822,0,0,0,0,0,0
8647,24,297,189,890,7379,61,0,0,0,200,12,2,17.553701456,2536,1.0,0,24.0,1,1.912485868,1.0,26000,26000.0,17.568587812,19,17,50,156.868,190.458,1.0,0.0,1.0,0.169264529,5456,5455,0,5455,0,5455,0,5455,0,0,0,0,0,0
8648,24,297,189,890,7379,61,0,0,0,200,12,7,18.175705517,2536,1.0,0,24.0,1,1.805813646,1.0,26000,26000.0,17.534352922,17,17,49,151.218,183.412,1.0,0.0,1.0,0.163515886,5456,5455,0,5455,0,5455,0,5455,0,0,0,0,0,0
8649,24,297,189,890,7379,61,0,0,0,200,12,12,18.902008832,2536,1.0,0,24.0,1,1.785181822,1.0,26000,26000.0,16.371312273,17,17,49,151.218,175.618,1.0,0.0,1.0,0.163169391,5456,5455,0,5455,0,5455,0,5455,0,0,0,0,0,0
8650,120,260,123,982,33939,61,0,0,0,200,2,2,18.698612161,10995,1.0,0,120.0,14,2.549777203,1.0,26000,26000.0,19.229774075,96,89,358,145.955,185.331,1.0,0.0,1.0,0.186352646,13726,13725,0,13725,0,13725,0,13725,0,0,0,0,0,0
